"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Public Works","22000001081","$500,000.00","Corman Kokosing Construction Company","Invitation to Bid","IFB #210010276 / Construction / Department of Public Works / Annual Bridge and Maintenance Repair Contract / Initial Term of Contract Two (2) years with Two (2) - Two (2) year renewals and One (1) Extension","Construction - Capital/Non-Capital","2021 Aug 05 12:00:00 AM","2023 Aug 04 12:00:00 AM"
"Public Works","22000006139","$1,034,525.50","CORMAN CONSTRUCTION INC - INACTIVE","Invitation to Bid","Closed New Contract #23-8807; IFB / Construction - Annual / DPW / Annual Bridge Maintenance / Initial Term of Two (2) years with Two (2) - Two (2) year renewals / Initial term set 1.5mil 465,474.50 spent on contract 22000001081","Construction - Term","2021 Dec 31 12:00:00 AM","2023 Aug 04 12:00:00 AM"
"City Wide","16000020193","$161,000.00","GONE 4 GOOD SHRED LLC","Invitation to Bid","IFB / Services - Non Professional and Non Technology / Department of Procurement Services / Initial Two (2) year with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology","2016 May 09 12:00:00 AM","2023 Aug 09 12:00:00 AM"
"Finance","23000001731","$3,500,000.00","Penn Care Inc","Agency Request","Assignment & Assumption Agreement / Supplies - Non Technology / Department of Public Works / Purchase of Ambulance and Related Equipment / No additional terms.","Equipment - Non Technology","2022 Aug 11 12:00:00 AM","2023 Aug 11 12:00:00 AM"
"Public Works","23000003822","$15,444.26","Equipment Works Inc","Cooperative Agreement","Coop agreement/Traffic Pavement Marking/Requisition 230003019","Equipment - Non Technology","2022 Oct 06 12:00:00 AM","2023 Aug 14 12:00:00 AM"
"Public Works","17000016092","$1,000,000.00","WESTERN BRANCH DIESEL, INC.","Invitation to Bid","Expired 21 June, 2023. IFB - Requisition #17000016092 / Supplies - Non-Technology / DPW / OEM Parts and Labor on International, Peterbilt, Kenworth, and Freightliner / Initial Term of Two years with Two - Two year renewal & ext.","Non Professional Services, Non Technology","2017 Mar 21 12:00:00 AM","2023 Aug 18 12:00:00 AM"
"Planning & Development Review","20000012605","$108,768.33","Hargreaves Jones Landscape Architecture D P C - INACTIVE","Request for Proposal","RFP #J13115 / Design Services Richmond Riverfront Plan Priority I Implementation / Planning & Development Review / Term 1 of 1","Professional Services","2013 Aug 21 12:00:00 AM","2023 Aug 20 12:00:00 AM"
"Public Utilities","17000002805","$500,000.00","Best Repair Company Inc","Invitation to Bid","Annual Electric Motor Testing, Preventative Maintenance and Repair Services/Term 3 of 3/160021009","Non Professional Services, Non Technology","2020 Aug 25 12:00:00 AM","2023 Aug 21 12:00:00 AM"
"Public Utilities","21000013422","$1,000,000.00","AtlasElektro LLC","Invitation to Bid","Annual Electric Motor Testing, Preventative Maintenance and Repair Services/Term 3 of 3/160021009","Non Professional Services, Non Technology","2020 Aug 25 12:00:00 AM","2023 Aug 21 12:00:00 AM"
"Public Works","22000007687","$830,000.00","Musco Corp - INACTIVE","Cooperative Agreement","Requisition 220008924/Cooperative Agreement #071619-MSL. The Richmond Diamond Sports Lighting Package-Materials & Installation per","Non Professional Services, Non Technology","2022 Jan 31 12:00:00 AM","2023 Aug 27 12:00:00 AM"
"Public Works","16000014191","$6,003,251.35","Bewegen Technologies inc","Request for Proposal","Public Bicycle Sharing System/five (5) years with one (1) - five (5) year renewal option/Requisition 150023599","Non Professional Services, Non Technology","2016 Feb 01 12:00:00 AM","2023 Aug 28 12:00:00 AM"
"Police Department","23000006615","$550,000.00","WB Mason Co Inc","Cooperative Agreement","Administrative Contract Coop City Of Petersburg #19-002 RFP Solicitation","Supplies, Non Technology","2023 Jan 04 12:00:00 AM","2023 Aug 31 12:00:00 AM"
"City Auditor","23000010522","$54,000.00","Canaudit, Inc.","Small Purchase","Requisition # 230011544: Network Vulnerability Assessment","Professional Services","2023 May 04 12:00:00 AM","2023 Sep 03 12:00:00 AM"
"Planning & Development Review","14000005903","$1,506,856.00","Hargreaves Associates - INACTIVE","Request for Proposal","Richmond Riverfront Plan Priority 1 Implementation - Architectural, Engineering and Landscape Design Services/Term 1 of 1/13115-1","Professional Services","2013 Sep 17 12:00:00 AM","2023 Sep 16 12:00:00 AM"
"Public Utilities","17000015907","$56,000,000.00","J R PIERCE INC","Invitation to Bid","Agreement Closed 10/6/2022: IFB / Construction - Term / Department of Public Utilities / Permanent Restoration of Utility Cuts Annual Contract / Initial term of One (1) year with Four (4) - One (1) year renewals.","Construction - Term","2017 Mar 31 12:00:00 AM","2023 Sep 20 12:00:00 AM"
"Public Utilities","22000010935","$35,320.00","Surdex Corporation","Cooperative Agreement","Requisition 220011353/(COOP Agreement) Vita Contract #VA-200922-SURD. Surdex Corp. will update the DPU City's planimetric data using the City's previously collected 6"" GSD by up imagery from 2021. (P.Giglio)","Non Professional Services, Non Technology","2022 May 16 12:00:00 AM","2023 Sep 21 12:00:00 AM"
"Social Services","19000005499","$300,000.00","HNH VIRGINIA INC","Request for Proposal","RFP / Non Professional Services / Department of Social Services / Home-based Adult Services and Adult Protective Services Care and Companion Services / Term three (3) of four (4) - one (1) year renewals.","Non Professional Services, Non Technology","2020 Sep 24 12:00:00 AM","2023 Sep 23 12:00:00 AM"
"Public Utilities","20000004362","$2,000,000.00","HMI Technical Solutions LLC","Invitation to Bid","IFB - Requisition #160020378 / Services - Non-Professional & Non-Technology / Department of Public Utilities / Corrosion Control Services / Initial Two (2) years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology","2019 Mar 28 12:00:00 AM","2023 Sep 24 12:00:00 AM"
"Public Works","17000015618","$515,260.00","Innovative Turf Applications And Consulting","Invitation to Bid","IFB / Services - Non-Professional and Non-Technology / Public Woks / Turf Maintenance Services / Two (2) Year Initial with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology","2017 Mar 31 12:00:00 AM","2023 Sep 27 12:00:00 AM"
"Public Works","18000006033","$3,000,000.00","LAWN BEAUTICIAN","Invitation to Bid","IFB / Services - Non Professional and Non Technology / Department of Public Works / Leaf Removal / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension.","Non Professional Services, Non Technology","2017 Oct 01 12:00:00 AM","2023 Sep 30 12:00:00 AM"
"Public Works","19000005983","$600,000.00","YME Corp","Invitation to Bid","IFB / Goods and Services / Department of Planning & Development Review / On-Demand Leaf Vacuuming Service / Initial One (1) year term with Four (4) - One (1) year renewal terms","Non Professional Services, Non Technology","2018 Oct 01 12:00:00 AM","2023 Sep 30 12:00:00 AM"
"Public Works","22000003606","$200,000.00","MATTHEWS LEASING LLC","Invitation to Bid","Sodium Chloride - Grade A-B Sand; IFB#220001022; 2 Initial Years; 2 - 2 Year Renewals","Commodity","2021 Oct 01 12:00:00 AM","2023 Sep 30 12:00:00 AM"
"City Wide","23000005633","$250,000.00","S+H Fahrenheit Search, LLC","Cooperative Agreement","Administrative Contract (Cooperative) Commonwealth of Virginia. EXECUTIVE SEARCH","Non Professional Services, Non Technology","2022 Dec 02 12:00:00 AM","2023 Sep 30 12:00:00 AM"
"Public Utilities","20000005098","$16,601,415.00","HMI Services","Invitation to Bid","IFB #190018015 / Construction - Non Capital / Department of Public Utilities / Water Leak Repairs and Meter Installations / Two (2) Year Initial Term with Four (4) - One (1) Year Renewals","Construction - Capital/Non-Capital","2019 Oct 01 12:00:00 AM","2023 Sep 30 12:00:00 AM"
"Public Utilities","22000002816","$3,300,000.00","UNIVAR SOLUTIONS USA INC","Agency Request","IFB / Commodity / Department of Public Works / Chemical Purchase Sodium Hypochlorite / Initial Term Two (2) years with Two (2) - Two (2) Year renewal and extension.","Commodity","2021 Oct 01 12:00:00 AM","2023 Oct 01 12:00:00 AM"
"Public Works","20000014179","$980,942.83","Stanley Convergent Security Solutions, Inc.","Invitation to Bid","Juvenile Detention Center Security Upgrades/305 consecutive calendar days/Req. 200008328.","Construction - Term","2020 May 15 12:00:00 AM","2023 Oct 01 12:00:00 AM"
"Public Works","22000001452","$3,700,000.00","Tidewater Utility Construction","Invitation to Bid","IFB #210004279 / Construction - Non Capital / Department of Public Utilities / Wastewater Treatment Plant City and Plant Water Improvements / Performance Term of 365 days. No additional terms.","Construction - Capital/Non-Capital","2021 Oct 10 12:00:00 AM","2023 Oct 09 12:00:00 AM"
"Public Works","24000001323","$333,078.00","CARTER MACHINERY COMPANY INC","Cooperative Agreement","NASPO Master Agreement #OK-SW-192","Equipment - Non Technology","2023 Jul 28 12:00:00 AM","2023 Oct 09 12:00:00 AM"
"City Attorney","20000005573","$2,000,000.00","MOTLEYS AUCTIONS INC","Request for Proposal","RFP / Goods and Services / City Attorney / Real Estate Auctions Services / Initial term of Two (2) years with Two (2) - Two (2) year renewal options and extension.","Non Professional Services, Non Technology","2019 Oct 14 12:00:00 AM","2023 Oct 13 12:00:00 AM"
"Public Utilities","20000006382","$246,000.00","IDEXX LABORATORIES","Agency Request","Sole Source / Services - Non Professional and Non Technology/ Department of Public Utilities / Water Testing Equipment / Department of Public Utilities / Initial term of One (1) year with Four (4) - One (1) year renewals","Equipment - Non Technology","2019 Oct 22 12:00:00 AM","2023 Oct 21 12:00:00 AM"
"Planning & Development Review","15000004354","$798,907.78","COLOR-AD INC - INACTIVE","Invitation to Bid","IFB #J140027005/Construction, wayfinding Signage / No additional terms.","Construction - Capital/Non-Capital","2014 Sep 15 12:00:00 AM","2023 Oct 25 12:00:00 AM"
"Public Utilities","20000005888","$1,569,712.00","Condy Holdings LLC","Invitation to Bid","IFB / Commodity / Department of Public Utilities / Liquid Zinc Orthophosphate Chemical/ Initial Term Two (2) years with Three (3)-One (1) year renewals","Commodity","2019 Oct 28 12:00:00 AM","2023 Oct 27 12:00:00 AM"
"Public Utilities","20000005912","$900,000.00","Wolf Tree Inc","Invitation to Bid","IFB / Non Professional & Non Technology Services / Department of Public Works / Initial Term of Two (2) years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology","2019 Oct 29 12:00:00 AM","2023 Oct 28 12:00:00 AM"
"Public Utilities","20000005914","$450,000.00","PITTMAN'S TREE AND LANDSCAPING - INACTIVE","Invitation to Bid","IFB / Non Professional Services - Non Technology / Department of Public Works / High Voltage Utility Line Tree Trimming Services / Initial Term Two (2) years with Two (2) - Two (2) year renewals and extension.","Non Professional Services, Non Technology","2019 Oct 29 12:00:00 AM","2023 Oct 28 12:00:00 AM"
"Public Works","22000002878","$784,812.39","WACO INC","Agency Request","Replacement of Chiller for 730 Broad Street Building","Construction - Term","2021 Oct 29 12:00:00 AM","2023 Oct 29 12:00:00 AM"
"Procurement Services","21000005216","$500,000.00","Voiance Language Services","Cooperative Agreement","Cooperative / Services Non Professional and Non Technical / Citywide Interpretation and Translation Services / State Contact #E194-7760.","Non Professional Services, Non Technology","2020 Nov 01 12:00:00 AM","2023 Oct 31 12:00:00 AM"
"Fire and Emergency Services","23000004744","$235,680.00","Emergency Services Consulting International","Cooperative Agreement","COOP - NPPGov - PS20365; RFD Consulting Services","Non Professional Services, Non Technology","2022 Nov 09 12:00:00 AM","2023 Nov 08 12:00:00 AM"
"Public Works","22000005087","$390,992.08","BROOKS AND COMPANY GENERAL CONTRACTORS INC","Invitation to Bid","IFB / Capital Construction / Department of Public Works / City of Richmond Fire Academy Restroom Renovation / Term is 225 days from Notice to Proceed","Construction - Capital/Non-Capital","2021 Nov 22 12:00:00 AM","2023 Nov 22 12:00:00 AM"
"Planning & Development Review","24000002540","$150,000.00","A Gang of Three, LLC","Exempt Purchase","Req 240002745 - City Code Section 21.3 16 - Sculpture, paintings or other works of art","Non Professional Services, Non Technology","2023 Aug 30 12:00:00 AM","2023 Dec 01 12:00:00 AM"
"Public Works","22000002309","$1,800,000.00","VENTURE ELECTRIC CO","Invitation to Bid","IFB / Term Construction / Department of Public Works / Annual Maintenance & Operations Contract / Initial Term of One (1) year with Four (4) - One (1) year options and extension.","Construction - Term","2021 Sep 07 12:00:00 AM","2023 Dec 06 12:00:00 AM"
"Public Utilities","22000005764","$2,328,000.00","WACO INC","Invitation to Bid","IFB #220001369 / Construction / DPU / Douglasdale and McCloy Pumping Station Improvements Project / Perf Period of 360 consecutive calendar days","Construction - Capital/Non-Capital","2021 Dec 10 12:00:00 AM","2023 Dec 11 12:00:00 AM"
"Public Works","23000009431","$266,971.71","BALL OFFICE PRODUCTS LLC","Cooperative Agreement","Omnia Cooperative # R191802 Allsteel through Ball Office Supplies","Supplies, Non Technology","2023 Apr 11 12:00:00 AM","2023 Dec 11 12:00:00 AM"
"Public Works","21000005536","$45,300.00","Aquatic Informatics Inc.","Small Purchase","Sole Source #20003422 / Requisition #200003422 / Term #2 of #4","Supplies, Technology","2019 Sep 13 12:00:00 AM","2023 Dec 12 12:00:00 AM"
"Minority Business Development","22000006051","$400,501.74","MGT Impact Solutions LLC","Request for Proposal","Disparity Study Services for the City of Richmond Virginia","Non Professional Services, Non Technology","2021 Dec 20 12:00:00 AM","2023 Dec 19 12:00:00 AM"
"Police Department","17000022842","$1,129,300.00","WITMER PUBLIC SAFETY GROUP INC","Invitation to Bid","Uniforms & Protective Equipment/Initial Term 1 year with 4 one-year renewal options/170014598","Supplies, Non Technology","2020 Jun 27 12:00:00 AM","2023 Dec 21 12:00:00 AM"
"Public Utilities","18000012380","$3,143,960.00","Accumark Inc.","Invitation to Bid","IFB / Construction - Term / Department of Public Works / Annual Sewer Investigation Services for Capital Improvement Projects / Initial Two (2) years with Two (2) Two (2) year renewals.","Construction - Capital/Non-Capital","2017 Dec 13 12:00:00 AM","2023 Dec 23 12:00:00 AM"
"Public Works","23000010524","$100,746.19","D & H Construction Services, Inc","Invitation to Bid","230008503 - 4th Police Precinct Repairs - 210 Consecutive days","Construction - Capital/Non-Capital",,"2023 Dec 27 12:00:00 AM"
"Finance","14000007071","$13,500.00","VIRGINIA INTERACTIVE LLC","Cooperative Agreement","COOP/Services/Payment Processing & applications (ALM Tax Payment)/226134","Non Professional Services, Technology","2013 Oct 01 12:00:00 AM","2023 Dec 29 12:00:00 AM"
"Public Works","23000012219","$745,977.70","COLONY CONSTRUCTION INC","Invitation to Bid","230011726 - VDOT SGR Paving Program - Project 0161-127-114 - UPC 118890 & Project 001-127-113 - UPC 118889 - Jefferson Davis Highway/Arthur Ashe Blvd(S) and Blanton Ave","Construction - Capital/Non-Capital","2023 Jun 29 12:00:00 AM","2023 Dec 29 12:00:00 AM"
